LABEL_KEY_ID,LABEL_KEY
"i_00","i_00_name"
"i_01","i_01_name"
"i_02","i_02_name"
"i_03","i_03_name"
"i_04","i_04_name"
"i_05","i_05_name"
"i_06","i_06_name"
"i_07","i_07_name"
"i_08","i_08_name"
"i_09","i_09_name"
"i_10","i_10_name"
"i_11","i_11_name"
"i_12","i_12_name"
"i_13","i_13_name"
"i_14","i_14_name"
"i_15","i_15_name"
"i_16","i_16_name"
"i_17","i_17_name"
"i_18","i_18_name"
"i_19","i_19_name"
"i_20","i_20_name"
"i_21","i_21_name"
"i_22","i_22_name"
"i_23","i_23_name"
"i_24","i_24_name"
"i_25","i_25_name"
"i_26","i_26_name"
"i_27","i_27_name"
"i_28","i_28_name"
"i_29","i_29_name"
"i_30","i_30_name"
"i_31","i_31_name"
"i_32","i_32_name"
"i_33","i_33_name"
"i_34","i_34_name"
"i_35","i_35_name"
"i_36","i_36_name"
"i_37","i_37_name"
"i_38","i_38_name"
"i_39","i_39_name"
"i_40","i_40_name"
"i_41","i_41_name"
"i_42","i_42_name"
"i_43","i_43_name"
"i_44","i_44_name"
"i_45","i_45_name"
"i_46","i_46_name"
"i_47","i_47_name"
"i_48","i_48_name"
"i_49","i_49_name"
"i_50","i_50_name"
"i_51","i_51_name"
"i_52","i_52_name"
"i_53","i_53_name"
"i_54","i_54_name"
"i_55","i_55_name"
"i_56","i_56_name"
"i_57","i_57_name"
"i_58","i_58_name"
"i_59","i_59_name"
"i_60","i_60_name"
"i_61","i_61_name"
"i_62","i_62_name"
"i_63","i_63_name"
"i_64","i_64_name"
"i_65","i_65_name"
"i_66","i_66_name"
"i_67","i_67_name"
"i_68","i_68_name"
"i_69","i_69_name"
"i_70","i_70_name"
"i_71","i_71_name"
"i_72","i_72_name"
"i_73","i_73_name"
"i_74","i_74_name"
"i_75","i_75_name"
"i_76","i_76_name"
"i_77","i_77_name"
"i_78","i_78_name"
"i_79","i_79_name"
"i_80","i_80_name"
"i_81","i_81_name"
"i_82","i_82_name"
"i_83","i_83_name"
"i_84","i_84_name"
"i_85","i_85_name"
"i_86","i_86_name"
"i_87","i_87_name"
"i_88","i_88_name"
"i_89","i_89_name"
"i_90","i_90_name"
"i_91","i_91_name"
"i_92","i_92_name"
"i_93","i_93_name"
"i_94","i_94_name"
"i_95","i_95_name"
"i_96","i_96_name"
"i_97","i_97_name"
"i_98","i_98_name"
"i_99","i_99_name"
"i_100","hostname"
"i_200","i_200_name"
"i_201","i_201_name"
"c_00","c_00_name"
"c_01","c_01_name"
"c_02","c_02_name"
"c_03","c_03_name"
"c_04","c_04_name"
"c_05","c_05_name"
"c_06","c_06_name"
"c_07","c_07_name"
"c_08","c_08_name"
"c_09","c_09_name"
"c_10","c_10_name"
"c_11","c_11_name"
"c_12","c_12_name"
"c_13","c_13_name"
"c_14","c_14_name"
"c_15","c_15_name"
"c_16","c_16_name"
"c_17","c_17_name"
"c_18","c_18_name"
"c_19","c_19_name"
"c_20","c_20_name"
"c_21","c_21_name"
"c_22","c_22_name"
"c_23","c_23_name"
"c_24","c_24_name"
"c_25","c_25_name"
"c_26","c_26_name"
"c_27","c_27_name"
"c_28","c_28_name"
"c_29","c_29_name"
"c_30","c_30_name"
"c_31","c_31_name"
"c_32","c_32_name"
"c_33","c_33_name"
"c_34","c_34_name"
"c_35","c_35_name"
"c_36","c_36_name"
"c_37","c_37_name"
"c_38","c_38_name"
"c_39","c_39_name"
"c_40","c_40_name"
"c_41","c_41_name"
"c_42","c_42_name"
"c_43","c_43_name"
"c_44","c_44_name"
"c_45","c_45_name"
"c_46","c_46_name"
"c_47","c_47_name"
"c_48","c_48_name"
"c_49","c_49_name"
"c_50","c_50_name"
"c_51","c_51_name"
"c_52","c_52_name"
"c_53","c_53_name"
"c_54","c_54_name"
"c_55","c_55_name"
"c_56","c_56_name"
"c_57","c_57_name"
"c_58","c_58_name"
"c_59","c_59_name"
"c_60","c_60_name"
