FILTER_ID,FILTER_NAME,FILTER_CONDITION_JSON,NOTE,DISUSE_FLAG,LAST_UPDATE_TIMESTAMP,LAST_UPDATE_USER
"f_01","f_01_name" ,"csv/filter01_json","","0","",""
"f_02","f_02_name" ,"csv/filter02_json","","0","",""
"f_03","f_03_name" ,"csv/filter03_json","","0","",""
"f_04","f_04_name" ,"csv/filter04_json","","0","",""
"f_05","f_05_name" ,"csv/filter05_json","","0","",""
"f_06","f_06_name" ,"csv/filter06_json","","0","",""
"f_07","f_07_name" ,"csv/filter07_json","","0","",""
"f_08","f_08_name" ,"csv/filter08_json","","0","",""
"f_09","f_09_name" ,"csv/filter09_json","","0","",""
"f_10","f_10_name" ,"csv/filter10_json","","0","",""
"f_11","f_11_name" ,"csv/filter11_json","","0","",""
"f_12","f_12_name" ,"csv/filter12_json","","0","",""
"f_13","f_13_name" ,"csv/filter13_json","","0","",""
"f_14","f_14_name" ,"csv/filter14_json","","0","",""
"f_15","f_15_name" ,"csv/filter15_json","","0","",""
"f_16","f_16_name" ,"csv/filter16_json","","0","",""
"f_17","f_17_name" ,"csv/filter17_json","","0","",""
"f_18","f_18_name" ,"csv/filter18_json","","0","",""
"f_19","f_19_name" ,"csv/filter19_json","","0","",""
"f_20","f_20_name" ,"csv/filter20_json","","0","",""
"f_21","f_21_name" ,"csv/filter21_json","","0","",""
"f_22","f_22_name" ,"csv/filter22_json","","0","",""
"f_23","f_23_name" ,"csv/filter23_json","","0","",""
"f_24","f_24_name" ,"csv/filter24_json","","0","",""
"f_25","f_25_name" ,"csv/filter25_json","","0","",""
"f_26","f_26_name" ,"csv/filter26_json","","0","",""
"f_27","f_27_name" ,"csv/filter27_json","","0","",""
"f_28","f_28_name" ,"csv/filter28_json","","0","",""
"f_29","f_29_name" ,"csv/filter29_json","","0","",""
"f_30","f_30_name" ,"csv/filter30_json","","0","",""
"f_31","f_31_name" ,"csv/filter31_json","","0","",""
"f_32","f_32_name" ,"csv/filter32_json","","0","",""
"f_33","f_33_name" ,"csv/filter33_json","","0","",""
"f_34","f_34_name" ,"csv/filter34_json","","0","",""
"f_35","f_35_name" ,"csv/filter35_json","","0","",""
"f_36","f_36_name" ,"csv/filter36_json","","0","",""
"f_37","f_37_name" ,"csv/filter37_json","","0","",""
"f_38","f_38_name" ,"csv/filter38_json","","0","",""
"f_39","f_39_name" ,"csv/filter39_json","","0","",""
"f_40","f_40_name" ,"csv/filter40_json","","0","",""
"f_41","f_41_name" ,"csv/filter41_json","","0","",""
"f_42","f_42_name" ,"csv/filter42_json","","0","",""
"f_43","f_43_name" ,"csv/filter43_json","","0","",""
"f_44","f_44_name" ,"csv/filter44_json","","0","",""
"f_45","f_45_name" ,"csv/filter45_json","","0","",""
"f_46","f_46_name" ,"csv/filter46_json","","0","",""
"f_47","f_47_name" ,"csv/filter47_json","","0","",""
"f_48","f_48_name" ,"csv/filter48_json","","0","",""
"f_49","f_49_name" ,"csv/filter49_json","","0","",""
"f_50","f_50_name" ,"csv/filter50_json","","0","",""
"f_51","f_51_name" ,"csv/filter51_json","","0","",""
"f_52","f_52_name" ,"csv/filter52_json","","0","",""
"f_53","f_53_name" ,"csv/filter53_json","","0","",""
"f_54","f_54_name" ,"csv/filter54_json","","0","",""
"f_55","f_55_name" ,"csv/filter55_json","","0","",""
"f_56","f_56_name" ,"csv/filter56_json","","0","",""
"f_57","f_57_name" ,"csv/filter57_json","","0","",""
"f_58","f_58_name" ,"csv/filter58_json","","0","",""
"f_59","f_59_name" ,"csv/filter59_json","","0","",""
"f_60","f_60_name" ,"csv/filter60_json","","0","",""
